title,url,author,rating,rating_count,id
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",https://www.goodreads.com/book/show/1232.The_Shadow_of_the_Wind,Carlos Ruiz Zafón,4.3,681105,1232
The Curious Incident of the Dog in the Night-Time,https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,Mark Haddon,3.89,1545462,1618
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",https://www.goodreads.com/book/show/6900.Tuesdays_with_Morrie,Mitch Albom,4.19,1119105,6900
The Unbearable Lightness of Being,https://www.goodreads.com/book/show/9717.The_Unbearable_Lightness_of_Being,Milan Kundera,4.11,511129,9717
The Name of the Rose,https://www.goodreads.com/book/show/119073.The_Name_of_the_Rose,Umberto Eco,4.14,381423,119073
"Holes (Holes, #1)",https://www.goodreads.com/book/show/38709.Holes,Louis Sachar,4.01,1301067,38709
On the Road,https://www.goodreads.com/book/show/70401.On_the_Road,Jack Kerouac,3.61,430964,70401
"Six of Crows (Six of Crows, #1)",https://www.goodreads.com/book/show/23437156-six-of-crows,Leigh Bardugo,4.47,1064924,23437156
Where the Red Fern Grows,https://www.goodreads.com/book/show/10365.Where_the_Red_Fern_Grows,Wilson Rawls,4.12,426784,10365
"The Godfather (The Godfather, #1)",https://www.goodreads.com/book/show/22034.The_Godfather,Mario Puzo,4.39,444871,22034
Perfume: The Story of a Murderer,https://www.goodreads.com/book/show/343.Perfume,Patrick Süskind,4.04,515037,343
In Cold Blood,https://www.goodreads.com/book/show/168642.In_Cold_Blood,Truman Capote,4.09,698027,168642
The Scarlet Letter,https://www.goodreads.com/book/show/12296.The_Scarlet_Letter,Nathaniel Hawthorne,3.44,893212,12296
American Gods,https://www.goodreads.com/book/show/30165203-american-gods,Neil Gaiman,4.11,969201,30165203
Fight Club,https://www.goodreads.com/book/show/36236124-fight-club,Chuck Palahniuk,4.18,620681,36236124
The Five People You Meet in Heaven,https://www.goodreads.com/book/show/3431.The_Five_People_You_Meet_in_Heaven,Mitch Albom,4.0,763317,3431
Watchmen,https://www.goodreads.com/book/show/472331.Watchmen,Alan             Moore,4.38,578839,472331
The Girl Who Played With Fire (Millennium #2),https://www.goodreads.com/book/show/5060378-the-girl-who-played-with-fire,Stieg Larsson,4.26,955833,5060378
The Divine Comedy: Inferno - Purgatorio - Paradiso,https://www.goodreads.com/book/show/6656.The_Divine_Comedy,Dante Alighieri,4.08,163471,6656
"The Cat in the Hat (Cat in the Hat, #1)",https://www.goodreads.com/book/show/233093.The_Cat_in_the_Hat,Dr. Seuss,4.19,567040,233093
All Quiet on the Western Front,https://www.goodreads.com/book/show/355697.All_Quiet_on_the_Western_Front,Erich Maria Remarque,4.09,490520,355697
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",https://www.goodreads.com/book/show/12067.Good_Omens,Terry Pratchett,4.25,797416,12067
"Hush, Hush (Hush, Hush, #1)",https://www.goodreads.com/book/show/6339664-hush-hush,Becca Fitzpatrick,3.92,729040,6339664
"The Little House Collection (Little House, #1-9)",https://www.goodreads.com/book/show/114345.The_Little_House_Collection,Laura Ingalls Wilder,4.36,155516,114345
"Lonesome Dove (Lonesome Dove, #1)",https://www.goodreads.com/book/show/256008.Lonesome_Dove,Larry McMurtry,4.55,211773,256008
Catching Fire (The Hunger Games #2),https://www.goodreads.com/book/show/6148028-catching-fire,Suzanne Collins,4.34,3855164,6148028
Peter Pan,https://www.goodreads.com/book/show/34268.Peter_Pan,J.M. Barrie,4.04,361587,34268
The Song of Achilles,https://www.goodreads.com/book/show/13623848-the-song-of-achilles,Madeline Miller,4.31,1765046,13623848
"The Titan’s Curse (Percy Jackson and the Olympians, #3)",https://www.goodreads.com/book/show/561456.The_Titan_s_Curse,Rick Riordan,4.37,1151141,561456
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",https://www.goodreads.com/book/show/2120932.The_Battle_of_the_Labyrinth,Rick Riordan,4.42,1164312,2120932
Love in the Time of Cholera,https://www.goodreads.com/book/show/9712.Love_in_the_Time_of_Cholera,Gabriel García Márquez,3.94,527604,9712
Gone Girl,https://www.goodreads.com/book/show/19288043-gone-girl,Gillian Flynn,4.14,3295808,19288043
The Addiction Manifesto,https://www.goodreads.com/book/show/58572970-the-addiction-manifesto,Jerry Weaver,4.76,1238,58572970
"Insurgent (Divergent, #2)",https://www.goodreads.com/book/show/11735983-insurgent,Veronica Roth,3.97,1573181,11735983
A Walk to Remember,https://www.goodreads.com/book/show/35545737-a-walk-to-remember,Nicholas Sparks,4.2,831050,35545737
The Secret History,https://www.goodreads.com/book/show/29044.The_Secret_History,Donna Tartt,4.16,900193,29044
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",https://www.goodreads.com/book/show/28186.The_Sea_of_Monsters,Rick Riordan,4.24,1284909,28186
"Clockwork Princess (The Infernal Devices, #3)",https://www.goodreads.com/book/show/18335634-clockwork-princess,Cassandra Clare,4.55,464047,18335634
The Thorn Birds,https://www.goodreads.com/book/show/3412.The_Thorn_Birds,Colleen McCullough,4.25,358158,3412
How the Grinch Stole Christmas!,https://www.goodreads.com/book/show/113946.How_the_Grinch_Stole_Christmas_,Dr. Seuss,4.38,433693,113946
"The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",https://www.goodreads.com/book/show/13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy,Douglas Adams,4.38,332103,13
"Throne of Glass (Throne of Glass, #1)",https://www.goodreads.com/book/show/7896527-throne-of-glass,Sarah J. Maas,4.18,2020748,7896527
"Shadow Kiss (Vampire Academy, #3)",https://www.goodreads.com/book/show/2802316-shadow-kiss,Richelle Mead,4.33,375419,2802316
The Compleat Works of Wllm Shkspr,https://www.goodreads.com/book/show/1423.The_Compleat_Works_of_Wllm_Shkspr,Reduced Shakespeare Company,4.43,9672,1423
The Elephant Tree,https://www.goodreads.com/book/show/9293020-the-elephant-tree,R.D. Ronald,3.78,31309,9293020
"The Maze Runner (The Maze Runner, #1)",https://www.goodreads.com/book/show/6186357-the-maze-runner,James Dashner,4.05,1611240,6186357
Their Eyes Were Watching God,https://www.goodreads.com/book/show/37415.Their_Eyes_Were_Watching_God,Zora Neale Hurston,3.99,368909,37415
The Importance of Being Earnest,https://www.goodreads.com/book/show/92303.The_Importance_of_Being_Earnest,Oscar Wilde,4.17,391001,92303
Atonement,https://www.goodreads.com/book/show/6867.Atonement,Ian McEwan,3.95,542694,6867
"The Wonderful Wizard of Oz (Oz, #1)",https://www.goodreads.com/book/show/236093.The_Wonderful_Wizard_of_Oz,L. Frank Baum,4.0,489527,236093
The Three Musketeers,https://www.goodreads.com/book/show/7190.The_Three_Musketeers,Alexandre Dumas,4.1,336415,7190
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",https://www.goodreads.com/book/show/17927395-a-court-of-mist-and-fury,Sarah J. Maas,4.64,2741017,17927395
The Lorax,https://www.goodreads.com/book/show/7784.The_Lorax,Dr. Seuss,4.35,358778,7784
"Eat, Pray, Love",https://www.goodreads.com/book/show/19501.Eat_Pray_Love,Elizabeth Gilbert,3.64,1802755,19501
Goodnight Moon,https://www.goodreads.com/book/show/32929.Goodnight_Moon,Margaret Wise Brown,4.32,385878,32929
"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",https://www.goodreads.com/book/show/7938275-the-hunger-games-trilogy-boxset,Suzanne Collins,4.49,228706,7938275
A Midsummer Night’s Dream,https://www.goodreads.com/book/show/1622.A_Midsummer_Night_s_Dream,William Shakespeare,3.94,560744,1622
"Frostbite (Vampire Academy, #2)",https://www.goodreads.com/book/show/2282133.Frostbite,Richelle Mead,4.25,365810,2282133
Bridge to Terabithia,https://www.goodreads.com/book/show/40940121-bridge-to-terabithia,Katherine Paterson,4.06,571421,40940121
"Murder on the Orient Express (Hercule Poirot, #10)",https://www.goodreads.com/book/show/853510.Murder_on_the_Orient_Express,Agatha Christie,4.2,682250,853510
The Zombie Room,https://www.goodreads.com/book/show/29908754-the-zombie-room,R.D. Ronald,3.82,32060,29908754
Heart of Darkness,https://www.goodreads.com/book/show/4900.Heart_of_Darkness,Joseph Conrad,3.43,536857,4900
Tess of the D’Urbervilles,https://www.goodreads.com/book/show/32261.Tess_of_the_D_Urbervilles,Thomas Hardy,3.84,294144,32261
"The Selection (The Selection, #1)",https://www.goodreads.com/book/show/10507293-the-selection,Kiera Cass,4.07,1678071,10507293
The Diary of a Young Girl,https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl,Anne Frank,4.2,3989213,48855
The Night Circus,https://www.goodreads.com/book/show/9361589-the-night-circus,Erin Morgenstern,4.01,1046165,9361589
The Prophet,https://www.goodreads.com/book/show/2547.The_Prophet,Kahlil Gibran,4.23,315736,2547
"Blood Promise (Vampire Academy, #4)",https://www.goodreads.com/book/show/5996153-blood-promise,Richelle Mead,4.3,321841,5996153
The Seven Husbands of Evelyn Hugo,https://www.goodreads.com/book/show/32620332-the-seven-husbands-of-evelyn-hugo,Taylor Jenkins Reid,4.4,3640745,32620332
The Call of the Wild,https://www.goodreads.com/book/show/1852.The_Call_of_the_Wild,Jack London,3.91,453338,1852
"The Good Earth (House of Earth, #1)",https://www.goodreads.com/book/show/1078.The_Good_Earth,Pearl S. Buck,4.01,255531,1078
Alice in Wonderland,https://www.goodreads.com/book/show/13023.Alice_in_Wonderland,Jane Carruth,4.03,394486,13023
The Joy Luck Club,https://www.goodreads.com/book/show/7763.The_Joy_Luck_Club,Amy Tan,3.97,696815,7763
The Phantom Tollbooth,https://www.goodreads.com/book/show/378.The_Phantom_Tollbooth,Norton Juster,4.2,297899,378
"Oh, the Places You’ll Go!",https://www.goodreads.com/book/show/191139.Oh_the_Places_You_ll_Go_,Dr. Seuss,4.37,427268,191139
The Neverending Story,https://www.goodreads.com/book/show/27712.The_Neverending_Story,Michael Ende,4.18,212272,27712
Madame Bovary,https://www.goodreads.com/book/show/2175.Madame_Bovary,Gustave Flaubert,3.71,355080,2175
"The Mists of Avalon (Avalon, #1)",https://www.goodreads.com/book/show/40605251-the-mists-of-avalon,Marion Zimmer Bradley,4.13,209914,40605251
Oliver Twist,https://www.goodreads.com/book/show/18254.Oliver_Twist,Charles Dickens,3.88,414111,18254
