title,url,id,author
The Gilded Age: A Tale of Today,https://www.gutenberg.org/ebooks/3178,3178,Mark Twain and Charles Dudley Warner
Poirot Investigates,https://www.gutenberg.org/ebooks/61262,61262,Agatha Christie
El crimen y el castigo (Spanish),https://www.gutenberg.org/ebooks/61851,61851,Fyodor Dostoyevsky
Anne of Green Gables,https://www.gutenberg.org/ebooks/19576,19576,L. M. Montgomery
Cane,https://www.gutenberg.org/ebooks/60093,60093,Jean Toomer
"Moby Dick; Or, The Whale",https://www.gutenberg.org/ebooks/28794,28794,Herman Melville
Gulliver's Travels into Several Remote Regions of the World,https://www.gutenberg.org/ebooks/17157,17157,Jonathan Swift
The Railway Children,https://www.gutenberg.org/ebooks/1874,1874,E. Nesbit
"What Men Live By, and Other Tales",https://www.gutenberg.org/ebooks/6157,6157,graf Leo Tolstoy
The Wonderful Wizard of Oz,https://www.gutenberg.org/ebooks/43936,43936,L. Frank Baum
"The Mysterious Stranger, and Other Stories",https://www.gutenberg.org/ebooks/3186,3186,Mark Twain
Emma,https://www.gutenberg.org/ebooks/19839,19839,Jane Austen
The Tragedy of Pudd'nhead Wilson,https://www.gutenberg.org/ebooks/102,102,Mark Twain
Kidnapped,https://www.gutenberg.org/ebooks/421,421,Robert Louis Stevenson
"Arsène Lupin, gentleman-cambrioleur (French)",https://www.gutenberg.org/ebooks/32854,32854,Maurice Leblanc
The Wind in the Willows,https://www.gutenberg.org/ebooks/27805,27805,Kenneth Grahame
The Mill on the Floss,https://www.gutenberg.org/ebooks/6688,6688,George Eliot
The Last of the Mohicans; A narrative of 1757,https://www.gutenberg.org/ebooks/940,940,James Fenimore Cooper
The Man Who Was Thursday: A Nightmare,https://www.gutenberg.org/ebooks/1695,1695,G. K. Chesterton
The Scarlet Pimpernel,https://www.gutenberg.org/ebooks/60,60,Baroness Emmuska Orczy Orczy
A farewell to arms,https://www.gutenberg.org/ebooks/75201,75201,Ernest Hemingway
The Way of the World,https://www.gutenberg.org/ebooks/1292,1292,William Congreve
The Return of the Native,https://www.gutenberg.org/ebooks/26264,26264,Thomas Hardy
Martin Eden,https://www.gutenberg.org/ebooks/1056,1056,Jack London
金瓶梅 (Chinese),https://www.gutenberg.org/ebooks/52200,52200,Xiaoxiaosheng
The Monkey's Paw,https://www.gutenberg.org/ebooks/12122,12122,W. W. Jacobs
The Beast in the Jungle,https://www.gutenberg.org/ebooks/1093,1093,Henry James
The Swiss Family Robinson,https://www.gutenberg.org/ebooks/26274,26274,Johann David Wyss
Demian: Die Geschichte von Emil Sinclairs Jugend (German),https://www.gutenberg.org/ebooks/41907,41907,Hermann Hesse
Jane Eyre,https://www.gutenberg.org/ebooks/23077,23077,Charlotte Brontë
Mrs. Spring Fragrance,https://www.gutenberg.org/ebooks/62940,62940,Sui Sin Far
